Number,Gate,Channel,Center,Circuit
1,Self-Expression,Inspiration,G,Knowing
2,Higher Knowing,The Beat,G,Knowing
3,Ordering,Mutation,Sacral,Knowing
4,Formulization,Logic,Ajna,Understanding
5,Fixed Rhythms,Rhythm,Sacral,Understanding
6,Friction,Mating,SolarPlexus,Defense
7,The Role of the Self,The Alpha,G,Understanding
8,Contribution,Inspiration,Throat,Knowing
9,Focus,Concentration,Sacral,Understanding
10,The Behavior of the Self,Exploration,G,Centering
10,The Behavior of the Self,Perfected Form,G,Centering
10,The Behavior of the Self,Awakening,G,Centering
11,Ideas,Curiosity,Ajna,Sensing
12,Caution,Openness,Throat,Knowing
13,The Listener,The Prodigal,G,Retreat
14,Power Skills,The Beat,Sacral,Knowing
15,Extremes,Rhythm,G,Understanding
16,Skills,The Wave Length,Throat,Understanding
17,Opinions,Acceptance,Ajna,Understanding
18,Correction,Judgement,Spleen,Understanding
19,Wanting,Synthesis,Root,Ego
20,The Now,Awakening,Throat,Knowing
20,The Now,The Brain Wave,Throat,Knowing
20,The Now,Charisma,Throat,Knowing
21,The Hunter/Huntress,The Money Line,Heart,Ego
22,Openness,Openness,SolarPlexus,Knowing
23,Assimilation,Structuring,Throat,Knowing
24,Rationalizing,Awareness,Ajna,Knowing
25,The Spirit of the Self,Initiation,G,Centering
26,The Egoist,Surrender,Heart,Ego
27,Caring,Preservation,Sacral,Defense
28,The Game Player,Struggle,Spleen,Knowing
29,Saying Yes,Discovery,Sacral,Sensing
30,Recognition of Feelings,Recognition,SolarPlexus,Sensing
31,Leading,The Alpha,Throat,Understanding
32,Continuity,Transformation,Spleen,Ego
33,Privacy,The Prodigal,Throat,Sensing
34,Power,Power,Sacral,Centering
34,Power,Charisma,Sacral,Centering
34,Power,Exploration,Sacral,Centering
35,Change,Transitoriness,Throat,Sensing
36,Crisis,Transitoriness,SolarPlexus,Sensing
37,Friendship,Community,SolarPlexus,Ego
38,The Fighter,Struggle,Root,Knowing
39,The Provocateur,Emoting,Root,Knowing
40,Aloneness,Community,Heart,Ego
41,Contraction,Recognition,Root,Sensing
42,Growth,Maturation,Sacral,Sensing
43,Insight,Structuring,Ajna,Knowing
44,Alertness,Surrender,Spleen,Ego
45,The Gatherer,The Money Line,Throat,Ego
46,The Determination of the Self,Discovery,G,Sensing
47,Realizing,Abstraction,Ajna,Sensing
48,Depth,The Wave Length,Spleen,Understanding
49,Principles,Synthesis,SolarPlexus,Ego
50,Values,Preservation,Spleen,Defense
51,Shock,Initiation,Heart,Centering
52,Inaction,Concentration,Root,Understanding
53,Beginnings,Maturation,Root,Sensing
54,Ambition,Transformation,Root,Ego
55,Spirit,Emoting,SolarPlexus,Knowing
56,Stimulation,Curiosity,Throat,Sensing
57,Intuitive Insight,The Brain Wave,Spleen,Knowing
57,Intuitive Insight,Power,Spleen,Knowing
57,Intuitive Insight,Perfected Form,Spleen,Knowing
58,Aliveness,Judgement,Root,Understanding
59,Sexuality,Mating,Sacral,Defense
60,Acceptance,Mutation,Root,Knowing
61,Mystery,Awareness,Head,Knowing
62,Detail,Acceptance,Throat,Understanding
63,Doubt,Logic,Head,Understanding
64,Confusion,Abstraction,Head,Sensing
